,Lon,Lat
324,-96.18500999999999,19.14047
325,-96.18500999999999,19.14047
326,-96.18500999999999,19.14047
327,-96.18500999999999,19.14047
328,-96.18500999999999,19.14047
329,-96.18500999999999,19.14047
330,-96.18500999999999,19.14047
331,-96.18500999999999,19.14047
332,-96.18500999999999,19.14047
333,-96.18500999999999,19.14047
334,-96.18500999999999,19.14047
335,-96.18500999999999,19.14047
336,-96.18500999999999,19.14047
337,-96.18500999999999,19.14047
338,-96.18500999999999,19.14047
339,-96.18500999999999,19.14047
340,-96.18500999999999,19.14047
341,-96.18500999999999,19.14047
342,-96.18500999999999,19.14047
343,-96.18500999999999,19.14047
344,-96.18500999999999,19.14047
345,-96.18500999999999,19.14047
346,-96.18500999999999,19.14047
347,-96.18500999999999,19.14047
348,-96.18500999999999,19.14047
349,-96.18500999999999,19.14047
350,-96.18500999999999,19.14047
351,-96.18500999999999,19.14047
352,-96.18500999999999,19.14047
353,-96.18500999999999,19.14047
354,-96.18500999999999,19.14047
355,-96.18500999999999,19.14047
356,-96.18500999999999,19.14047
357,-96.18500999999999,19.14047
358,-96.18500999999999,19.14047
359,-96.18500999999999,19.14047
360,-96.18500999999999,19.14047
361,-96.18500999999999,19.14047
362,-96.18500999999999,19.14047
363,-96.18500999999999,19.14047
364,-96.18500999999999,19.14047
365,-96.18500999999999,19.14046
366,-96.18500999999999,19.14046
367,-96.18500999999999,19.14046
368,-96.18500999999999,19.14046
369,-96.18500999999999,19.14046
370,-96.18500999999999,19.14046
371,-96.18500999999999,19.14046
372,-96.18500999999999,19.14046
373,-96.18500999999999,19.14046
374,-96.18500999999999,19.14046
375,-96.18500999999999,19.14046
376,-96.18500999999999,19.14046
377,-96.18500999999999,19.14046
378,-96.18500999999999,19.14046
379,-96.18500999999999,19.14046
380,-96.18500999999999,19.14046
381,-96.18500999999999,19.14046
382,-96.18500999999999,19.14046
383,-96.18500999999999,19.14046
384,-96.18500999999999,19.14046
385,-96.18500999999999,19.14046
386,-96.18500999999999,19.14046
387,-96.18500999999999,19.14046
388,-96.18500999999999,19.14046
389,-96.18500999999999,19.14046
390,-96.18500999999999,19.14046
391,-96.18500999999999,19.14046
392,-96.18500999999999,19.14046
393,-96.18500999999999,19.14046
394,-96.18500999999999,19.14046
395,-96.18500999999999,19.14046
396,-96.18500999999999,19.14046
397,-96.18500999999999,19.14046
398,-96.18500999999999,19.14046
399,-96.18500999999999,19.14046
400,-96.18500999999999,19.14047
401,-96.18500999999999,19.14047
402,-96.18500999999999,19.14047
403,-96.18500999999999,19.14047
404,-96.18500999999999,19.14047
405,-96.18500999999999,19.14047
406,-96.18500999999999,19.14047
407,-96.18500999999999,19.14047
408,-96.18500999999999,19.14047
409,-96.18500999999999,19.14047
410,-96.18500999999999,19.14047
411,-96.18500999999999,19.14047
412,-96.185,19.14047
413,-96.185,19.14047
414,-96.185,19.14047
415,-96.185,19.14047
416,-96.185,19.14047
417,-96.185,19.14047
418,-96.185,19.14047
419,-96.185,19.14047
420,-96.185,19.14047
421,-96.185,19.14047
422,-96.185,19.14047
