,LONGITUDE,LATITUDE
207,-71.02667,43.23333
208,-71.02667,43.23333
209,-71.02833000000001,43.23333
210,-71.03,43.23333
211,-71.03166999999999,43.235
212,-71.03333,43.235
213,-71.035,43.235
214,-71.03667,43.235
215,-71.03833,43.235
216,-71.04,43.235
217,-71.04167,43.236670000000004
218,-71.04333000000001,43.236670000000004
219,-71.045,43.236670000000004
220,-71.04666999999999,43.236670000000004
221,-71.04833,43.236670000000004
222,-71.05,43.236670000000004
223,-71.05167,43.236670000000004
224,-71.05333,43.236670000000004
225,-71.055,43.23833
226,-71.05667,43.23833
227,-71.05833,43.23833
228,-71.06,43.23833
229,-71.06166999999999,43.23833
230,-71.06333000000001,43.23833
231,-71.065,43.23833
232,-71.06667,43.23833
233,-71.06833,43.23833
234,-71.07,43.23833
235,-71.07167,43.23833
236,-71.07333,43.23833
237,-71.075,43.23833
238,-71.07667,43.23833
239,-71.07833000000001,43.23833
240,-71.08,43.23833
241,-71.08333,43.23833
242,-71.085,43.23833
243,-71.085,43.23833
244,-71.08833,43.236670000000004
245,-71.09,43.236670000000004
246,-71.09167,43.236670000000004
247,-71.09333000000001,43.236670000000004
248,-71.095,43.236670000000004
249,-71.09666999999999,43.236670000000004
250,-71.09833,43.236670000000004
251,-71.1,43.236670000000004
252,-71.10167,43.236670000000004
253,-71.10333,43.236670000000004
254,-71.105,43.236670000000004
255,-71.10667,43.236670000000004
256,-71.10833000000001,43.236670000000004
257,-71.11,43.236670000000004
258,-71.11166999999999,43.236670000000004
259,-71.11333,43.236670000000004
260,-71.115,43.236670000000004
261,-71.11667,43.236670000000004
262,-71.11833,43.236670000000004
263,-71.12,43.236670000000004
264,-71.12167,43.235
265,-71.12333000000001,43.235
266,-71.125,43.235
267,-71.12666999999999,43.235
268,-71.12833,43.235
269,-71.13,43.235
270,-71.13167,43.235
271,-71.135,43.235
272,-71.13667,43.235
273,-71.13833000000001,43.235
274,-71.14,43.235
275,-71.14166999999999,43.235
276,-71.14333,43.235
277,-71.145,43.235
278,-71.14667,43.235
279,-71.14833,43.235
280,-71.15,43.235
281,-71.15167,43.235
282,-71.15333000000001,43.235
283,-71.155,43.235
284,-71.15666999999999,43.235
285,-71.15833,43.23333
286,-71.16,43.23333
287,-71.16167,43.23333
288,-71.16333,43.23333
289,-71.165,43.23333
290,-71.16667,43.23333
291,-71.16833000000001,43.23333
292,-71.17,43.23333
293,-71.17166999999999,43.23333
294,-71.17333,43.23333
295,-71.175,43.23333
296,-71.17667,43.23333
297,-71.17833,43.23333
298,-71.18,43.23333
299,-71.18167,43.23333
300,-71.18333,43.23333
301,-71.185,43.23333
302,-71.18666999999999,43.23333
303,-71.18833000000001,43.23333
304,-71.19167,43.23333
305,-71.19333,43.23333
306,-71.195,43.23333
307,-71.19667,43.23333
308,-71.19833,43.23333
309,-71.2,43.23333
310,-71.20167,43.23333
311,-71.20333000000001,43.23333
312,-71.205,43.23333
313,-71.20666999999999,43.23333
314,-71.20833,43.23333
315,-71.21,43.23333
316,-71.21167,43.23333
317,-71.21333,43.23333
318,-71.215,43.23333
319,-71.21667,43.23333
320,-71.21833000000001,43.23333
321,-71.22,43.23333
322,-71.22166999999999,43.23333
323,-71.225,43.23333
324,-71.22667,43.23333
325,-71.22833,43.23333
326,-71.23,43.23333
327,-71.23167,43.23333
328,-71.23333000000001,43.23333
329,-71.235,43.23333
330,-71.23666999999999,43.23333
331,-71.23833,43.23333
332,-71.24,43.23333
333,-71.24167,43.23333
334,-71.24333,43.23333
335,-71.245,43.23333
336,-71.24667,43.23333
337,-71.24833000000001,43.23333
338,-71.25,43.23333
339,-71.25166999999999,43.23333
340,-71.25333,43.23333
341,-71.255,43.23333
